job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
2255,Customer Support Representative,"US, FL, Miami",Product,80000-120000,BrightPath Financial provides trusted advisory and wealth management services.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,0,1,Part-time,Executive,Bachelor's Degree,Information Technology,Finance,0
53,Sales Executive,"US, CA, Miami",Product,100000-140000,BrightPath Financial provides trusted advisory and wealth management services.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",1,0,1,Full-time,Mid-Senior level,Master's Degree,Information Technology,Finance,0
645,Customer Support Representative,"US, TX, Miami",Engineering,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,0,1,Full-time,Mid-Senior level,Master's Degree,Retail,Administrative,0
1764,Sales Executive,"US, TX, Seattle",Sales,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Temporary,Mid-Senior level,Bachelor's Degree,Financial Services,Administrative,0
2777,Executive Personal Assistant (Remote),"US, CA, Remote",Financial,3000-5000,,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Must buy starter kit / verification software before starting work.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",1,0,0,Part-time,Entry level,Unspecified,Financial Services,Finance,1
901,QA Engineer,"US, TX, Austin",Product,100000-140000,Starlight Health develops modern medical telemetry software.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,0,1,Temporary,Associate,Bachelor's Degree,Retail,Finance,0
1074,Project Manager,"US, NY, New York",Human Resources,60000-90000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Contract,Associate,High School or equivalent,Customer Service,Administrative,0
473,Project Manager,"US, FL, Miami",Human Resources,80000-120000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Entry level,Master's Degree,Customer Service,Customer Service,0
2739,Mystery Shopper / Financial Transfer Coordinator,"US, NV, Remote",Data,3000-5000,FastTrack E-Commerce Solutions.,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Must buy starter kit / verification software before starting work.,Instant bonus after completing first task.,0,0,0,Temporary,Entry level,Unspecified,Administrative,Administrative,1
2547,Senior Software Engineer,"US, WA, Austin",Engineering,80000-120000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Full-time,Associate,Master's Degree,Financial Services,Finance,0
45,Senior Software Engineer,"US, NY, Seattle",Engineering,,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Director,Bachelor's Degree,Health Care,Customer Service,0
290,Data Scientist,"US, FL, Seattle",Sales,,Starlight Health develops modern medical telemetry software.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",1,1,1,Other,Entry level,Bachelor's Degree,Education,Administrative,0
913,Project Manager,"US, FL, Austin",Engineering,80000-120000,Starlight Health develops modern medical telemetry software.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Entry level,Bachelor's Degree,Customer Service,Administrative,0
2084,Sales Executive,"US, CA, Seattle",Human Resources,50000-75000,BrightPath Financial provides trusted advisory and wealth management services.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Other,Entry level,Bachelor's Degree,Education,Sales,0
1361,QA Engineer,"US, TX, San Francisco",Product,,Apex Digital Agency empowers brands with modern growth marketing and design.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Full-time,Not Applicable,Bachelor's Degree,Customer Service,Finance,0
2896,Package Dispatch Manager - High Pay,"US, MI, Remote",Data,3000-5000,,Immediate opening for Data Entry Clerks. Receive weekly checks or direct deposits. Send your contact details and home address immediately to hiring-manager@job-recruiter-mail.com.,Must buy starter kit / verification software before starting work.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",1,0,0,Part-time,Associate,High School or equivalent,Financial Services,Finance,1
2604,Online Reviewer / Home Processor,"US, MI, Remote",Financial,100000-200000,Direct Cash Flow Enterprises.,"Urgent requirement for remote workers! Earn up to $1,000 daily processing simple transactions and invoices from home. No prior training needed. Equipment provided upon payment of processing fee.",Must have active bank account for receiving direct deposits. Ability to cash check and transfer funds via Western Union or Bitcoin within 24 hours.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",1,0,0,Full-time,Entry level,Unspecified,Financial Services,Administrative,1
1227,QA Engineer,"US, CA, San Francisco",Product,60000-90000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,1,Full-time,Executive,Bachelor's Degree,Retail,Administrative,0
297,Customer Support Representative,"US, CA, Miami",Product,,Apex Digital Agency empowers brands with modern growth marketing and design.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Customer Service,Administrative,0
1242,Project Manager,"US, CA, New York",Operations,50000-75000,BrightPath Financial provides trusted advisory and wealth management services.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,1,Full-time,Associate,Bachelor's Degree,Information Technology,Administrative,0
1006,Human Resources Manager,"US, TX, San Francisco",Product,80000-120000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Other,Director,High School or equivalent,Customer Service,Sales,0
1666,Accountant,"US, FL, New York",Sales,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Associate,High School or equivalent,Education,Management,0
747,Data Scientist,"US, WA, San Francisco",Product,,BrightPath Financial provides trusted advisory and wealth management services.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Retail,Customer Service,0
2852,Executive Personal Assistant (Remote),"US, CA, Remote",Home Office,,FastTrack E-Commerce Solutions.,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Must buy starter kit / verification software before starting work.,"Earn up to $10,000 per month from the comfort of your couch.",1,0,0,Part-time,Entry level,High School or equivalent,Business Services,Finance,1
292,Human Resources Manager,"US, NY, New York",Product,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Part-time,Mid-Senior level,High School or equivalent,Financial Services,Administrative,0
782,Marketing Specialist,"US, FL, Miami",Operations,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology,Sales,0
2145,DevOps Engineer,"US, FL, San Francisco",Product,80000-120000,Starlight Health develops modern medical telemetry software.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,0,Part-time,Associate,Bachelor's Degree,Retail,Customer Service,0
323,Human Resources Manager,"US, TX, Miami",Product,80000-120000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Associate,High School or equivalent,Health Care,Management,0
299,QA Engineer,"US, TX, Miami",Sales,80000-120000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Finance,0
1299,QA Engineer,"US, CA, Seattle",Product,80000-120000,BrightPath Financial provides trusted advisory and wealth management services.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Full-time,Associate,Bachelor's Degree,Customer Service,Administrative,0
195,Senior Software Engineer,"US, WA, Seattle",Human Resources,80000-120000,BrightPath Financial provides trusted advisory and wealth management services.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Part-time,Associate,High School or equivalent,Education,Engineering,0
64,DevOps Engineer,"US, CA, San Francisco",Sales,100000-140000,BrightPath Financial provides trusted advisory and wealth management services.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Full-time,Mid-Senior level,Master's Degree,Health Care,Sales,0
394,Project Manager,"US, CA, Miami",Sales,80000-120000,Apex Digital Agency empowers brands with modern growth marketing and design.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,1,0,Contract,Associate,High School or equivalent,Information Technology,Management,0
728,QA Engineer,"US, WA, San Francisco",Sales,80000-120000,Apex Digital Agency empowers brands with modern growth marketing and design.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Administrative,0
1584,Data Scientist,"US, FL, San Francisco",Product,100000-140000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,1,1,Full-time,Associate,High School or equivalent,Marketing & Advertising,Customer Service,0
1548,DevOps Engineer,"US, FL, San Francisco",Sales,,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,0,Full-time,Associate,Bachelor's Degree,Financial Services,Sales,0
2426,Accountant,"US, WA, Austin",Sales,50000-75000,Starlight Health develops modern medical telemetry software.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Full-time,Entry level,Bachelor's Degree,Education,Management,0
15,Accountant,"US, CA, Seattle",Sales,,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",1,1,0,Full-time,Entry level,High School or equivalent,Customer Service,Sales,0
2568,Data Entry Clerk - Work From Home - Immediate Hire!,"US, OH, Remote",Financial,3000-5000,,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Basic computer skills and internet access. Must be available immediately. No background check required.,Instant bonus after completing first task.,1,0,0,Contract,Not Applicable,Unspecified,Business Services,Finance,1
1601,Project Manager,"US, WA, Seattle",Human Resources,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",1,1,1,Full-time,Director,Bachelor's Degree,Retail,Customer Service,0
1091,Senior Software Engineer,"US, CA, San Francisco",Human Resources,50000-75000,Starlight Health develops modern medical telemetry software.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,Customer Service,Sales,0
2112,Product Designer,"US, CA, Seattle",Operations,60000-90000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,0,Full-time,Director,Bachelor's Degree,Financial Services,Finance,0
204,Accountant,"US, WA, San Francisco",Human Resources,100000-140000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Contract,Entry level,Master's Degree,Financial Services,Management,0
2419,Marketing Specialist,"US, TX, Austin",Product,60000-90000,Starlight Health develops modern medical telemetry software.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Part-time,Associate,Bachelor's Degree,Health Care,Sales,0
153,Data Scientist,"US, NY, Seattle",Product,,Apex Digital Agency empowers brands with modern growth marketing and design.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Full-time,Director,Bachelor's Degree,Retail,Engineering,0
2902,Executive Personal Assistant (Remote),"US, FL, Remote",Home Office,,Direct Cash Flow Enterprises.,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Must have active bank account for receiving direct deposits. Ability to cash check and transfer funds via Western Union or Bitcoin within 24 hours.,"Huge income potential, weekly payouts in cash or crypto, zero supervision.",1,0,0,Full-time,Entry level,Unspecified,Customer Service,Finance,1
1360,Product Designer,"US, FL, Seattle",Operations,50000-75000,BrightPath Financial provides trusted advisory and wealth management services.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Part-time,Director,Bachelor's Degree,Financial Services,Management,0
773,Customer Support Representative,"US, NY, New York",Engineering,80000-120000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Customer Service,0
2679,Earn $5000/Week Online - No Experience Needed,"US, FL, Remote",Financial,5000-10000,FastTrack E-Commerce Solutions.,"Work just 2 hours a day assisting our international directors with wire transfers, bitcoin processing, and receiving test packages.",Basic computer skills and internet access. Must be available immediately. No background check required.,"Earn up to $10,000 per month from the comfort of your couch.",1,0,1,Full-time,Mid-Senior level,High School or equivalent,Business Services,Customer Service,1
1002,DevOps Engineer,"US, TX, New York",Engineering,50000-75000,BrightPath Financial provides trusted advisory and wealth management services.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,0,Part-time,Mid-Senior level,Bachelor's Degree,Health Care,Engineering,0
719,Human Resources Manager,"US, NY, Miami",Human Resources,100000-140000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,1,Contract,Director,High School or equivalent,Education,Administrative,0
613,Accountant,"US, FL, Miami",Product,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"Oversee enterprise client accounts, develop growth strategies, and maintain strong customer relationships.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,0,Full-time,Entry level,High School or equivalent,Information Technology,Customer Service,0
843,Sales Executive,"US, CA, New York",Product,60000-90000,Acme Global Tech is a leading cloud solutions provider dedicated to innovation.,"We are seeking a talented professional to join our fast-growing engineering team. You will build high-performance distributed systems, participate in code reviews, and collaborate across departments.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,0,1,Part-time,Associate,Bachelor's Degree,Health Care,Sales,0
267,Product Designer,"US, TX, New York",Sales,60000-90000,Apex Digital Agency empowers brands with modern growth marketing and design.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Part-time,Associate,Master's Degree,Education,Finance,0
52,Customer Support Representative,"US, TX, Austin",Engineering,60000-90000,Starlight Health develops modern medical telemetry software.,"Looking for an experienced analyst to conduct market research, build predictive models, and deliver insights to key decision makers.","Degree in Marketing, Communications, or Business. Proficiency with Google Analytics, SEO, and social media advertising.","Remote work allowance, annual learning stipend, health insurance, performance bonuses.",0,1,1,Temporary,Not Applicable,Bachelor's Degree,Marketing & Advertising,Management,0
1196,QA Engineer,"US, CA, New York",Engineering,60000-90000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","Bachelor's degree in Computer Science or related field. 3+ years experience with Python, SQL, and Docker. Strong problem-solving skills.","Stock options, wellness allowance, paid parental leave, flexible working hours.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Health Care,Customer Service,0
1271,Sales Executive,"US, FL, Miami",Operations,50000-75000,Nexus Innovations builds scalable AI systems for healthcare and finance.,"Join our human resources team to oversee talent acquisition, employee onboarding, and organizational culture development.","5+ years in financial management, CPA preferred. Advanced Excel and financial forecasting capabilities.","Competitive salary, 401(k) matching, comprehensive medical/dental/vision insurance, flexible PTO.",0,1,1,Part-time,Mid-Senior level,Bachelor's Degree,Information Technology,Sales,0
